SessionID,ADDR,RequestID,ResponseID,TIME,STATUS,PORT
S1,"('54.86.50.139', 17952)",REQ_22_P8080,RES_21_P8080,2022-05-10 09:10:32.229026,closed,8080
S2,"('54.86.50.139', 12559)",REQ_24_P8080,RES_5_P8080,2022-05-10 09:12:48.841122,closed,8080
S3,"('54.86.50.139', 22304)",REQ_22_P8080,RES_34_P8080,2022-05-10 09:43:32.268964,closed,8080
S3,"('54.86.50.139', 20949)",REQ_23_P8080,RES_49_P8080,2022-05-10 09:43:40.472990,closed,8080
S5,"('54.86.50.139', 23873)",REQ_24_P8080,RES_48_P8080,2022-05-10 09:45:41.625802,closed,8080
S5,"('54.86.50.139', 39444)",REQ_25_P8080,RES_10_P8080,2022-05-10 09:45:44.822075,closed,8080
S7,"('54.86.50.139', 54125)",REQ_26_P8080,RES_12_P8080,2022-05-10 09:47:31.004121,closed,8080
S7,"('54.86.50.139', 41447)",REQ_27_P8080,RES_2_P8080,2022-05-10 09:47:35.900898,closed,8080
S7,"('54.86.50.139', 61976)",REQ_28_P8080,RES_40_P8080,2022-05-10 09:48:05.295991,closed,8080
S10,"('54.86.50.139', 14164)",REQ_29_P8080,RES_19_P8080,2022-05-10 10:08:54.950467,closed,8080
S11,"('192.241.222.168', 42822)",REQ_30_P8080,RES_41_P8080,2022-05-10 10:14:44.831442,closed,8080
S12,"('45.237.188.139', 59070)",REQ_31_P8080,RES_44_P8080,2022-05-10 10:40:47.150152,closed,8080
S13,"('155.12.94.24', 38418)",REQ_32_P8080,RES_36_P8080,2022-05-10 11:14:54.878369,closed,8080
S14,"('45.61.185.106', 46320)",REQ_33_P8080,RES_18_P8080,2022-05-10 11:56:18.282401,closed,8080
S15,"('192.241.213.59', 47630)",REQ_34_P8080,RES_2_P8080,2022-05-10 11:57:27.831428,closed,8080
S16,"('54.86.50.139', 64475)",REQ_35_P8080,RES_7_P8080,2022-05-10 13:42:34.895070,closed,8080
S16,"('54.86.50.139', 34533)",REQ_36_P8080,RES_15_P8080,2022-05-10 13:42:41.576848,closed,8080
