SessionID,ADDR,RequestID,ResponseID,TIME,STATUS,PORT
S1,"('192.241.219.206', 44460)",REQ_20_P81,RES_142_P81,2022-05-10 10:27:44.842425,closed,81
S2,"('103.162.30.245', 56352)",REQ_21_P81,RES_215_P81,2022-05-10 10:59:56.046108,closed,81
S3,"('192.241.212.209', 53562)",REQ_22_P81,RES_131_P81,2022-05-10 12:03:45.146504,closed,81
S4,"('188.166.59.99', 52454)",REQ_23_P81,RES_22_P81,2022-05-10 12:40:15.591624,closed,81
S5,"('164.92.87.78', 41144)",REQ_24_P81,RES_127_P81,2022-05-10 15:06:11.934785,closed,81
S6,"('45.148.10.157', 42980)",REQ_25_P81,RES_45_P81,2022-05-11 00:41:29.244718,closed,81
S7,"('103.162.30.245', 44896)",REQ_26_P81,RES_62_P81,2022-05-11 08:54:47.969057,closed,81
S8,"('147.182.135.81', 58184)",REQ_27_P81,RES_31_P81,2022-05-11 09:33:18.165735,closed,81
S9,"('2.56.59.10', 45650)",REQ_28_P81,RES_45_P81,2022-05-11 10:47:29.342391,closed,81
S10,"('188.166.59.99', 36364)",REQ_29_P81,RES_36_P81,2022-05-11 10:55:14.680404,closed,81
S11,"('128.14.209.162', 41620)",REQ_30_P81,RES_43_P81,2022-05-11 11:23:38.924333,closed,81
S12,"('185.171.114.72', 57970)",REQ_31_P81,RES_73_P81,2022-05-11 11:52:26.202464,closed,81
S13,"('2.56.56.4', 41670)",REQ_32_P81,RES_34_P81,2022-05-11 12:00:37.940788,closed,81
S14,"('2.56.59.10', 56466)",REQ_33_P81,RES_32_P81,2022-05-11 12:17:21.232331,closed,81
S15,"('45.148.10.157', 37360)",REQ_34_P81,RES_37_P81,2022-05-12 14:50:00.981368,closed,81
S16,"('45.148.10.157', 33304)",REQ_35_P81,RES_1_P81,2022-05-12 15:27:53.578767,closed,81
S17,"('104.219.236.126', 49070)",REQ_36_P81,RES_32_P81,2022-05-12 16:05:48.876558,closed,81
S18,"('45.148.10.157', 58354)",REQ_37_P81,RES_31_P81,2022-05-12 16:07:22.609569,closed,81
S19,"('192.241.220.237', 36042)",REQ_38_P81,RES_39_P81,2022-05-12 17:23:46.960590,closed,81
S20,"('45.148.10.157', 53196)",REQ_39_P81,RES_35_P81,2022-05-12 22:25:28.906566,closed,81
S21,"('45.148.10.157', 44790)",REQ_40_P81,RES_47_P81,2022-05-12 22:43:22.080417,closed,81
S22,"('179.43.167.122', 40970)",REQ_41_P81,RES_46_P81,2022-05-12 23:14:53.953901,closed,81
S23,"('137.184.121.128', 44856)",REQ_42_P81,RES_39_P81,2022-05-12 23:33:04.432343,closed,81
S24,"('179.43.167.122', 58470)",REQ_43_P81,RES_62_P81,2022-05-12 23:42:51.833363,closed,81
S25,"('103.79.140.40', 46220)",REQ_44_P81,RES_36_P81,2022-05-12 23:47:06.939348,closed,81
S26,"('192.241.221.138', 55278)",REQ_45_P81,RES_46_P81,2022-05-13 01:50:56.849718,closed,81
S27,"('61.58.89.44', 55478)",REQ_46_P81,RES_2_P81,2022-05-13 07:42:17.076370,closed,81
S28,"('179.43.167.122', 41978)",REQ_47_P81,RES_5_P81,2022-05-13 08:34:57.305252,closed,81
S29,"('45.148.10.157', 41252)",REQ_48_P81,RES_13_P81,2022-05-13 08:55:38.945080,closed,81
S30,"('104.219.236.126', 53664)",REQ_49_P81,RES_42_P81,2022-05-13 09:12:28.423217,closed,81
S31,"('104.248.206.55', 43096)",REQ_50_P81,RES_13_P81,2022-05-13 10:09:45.292851,closed,81
S32,"('192.241.212.220', 49450)",REQ_51_P81,RES_43_P81,2022-05-13 10:28:35.392094,closed,81
S33,"('179.43.167.122', 37950)",REQ_52_P81,RES_46_P81,2022-05-13 10:54:03.543614,closed,81
S34,"('108.195.13.124', 51722)",REQ_53_P81,RES_1_P81,2022-05-13 10:57:28.123833,closed,81
S35,"('137.184.121.128', 47770)",REQ_54_P81,RES_42_P81,2022-05-13 11:25:17.475367,closed,81
S36,"('104.219.236.126', 34214)",REQ_55_P81,RES_46_P81,2022-05-13 11:34:17.216602,closed,81
S37,"('179.43.167.122', 40362)",REQ_56_P81,RES_61_P81,2022-05-13 11:53:20.770327,closed,81
S38,"('164.92.87.78', 37898)",REQ_57_P81,RES_47_P81,2022-05-13 23:06:58.835781,closed,81
S39,"('198.235.24.145', 34055)",REQ_58_P81,RES_2_P81,2022-05-13 23:12:43.827903,closed,81
S40,"('103.79.140.40', 52226)",REQ_59_P81,RES_33_P81,2022-05-14 00:41:08.516416,closed,81
S41,"('104.248.206.55', 51966)",REQ_60_P81,RES_45_P81,2022-05-14 00:45:51.713016,closed,81
S42,"('104.219.236.126', 49350)",REQ_61_P81,RES_37_P81,2022-05-14 01:46:48.412027,closed,81
S43,"('147.182.135.81', 40828)",REQ_62_P81,RES_76_P81,2022-05-14 16:33:56.534618,closed,81
S44,"('103.162.30.245', 56764)",REQ_63_P81,RES_1_P81,2022-05-16 14:21:30.538110,closed,81
S45,"('179.43.167.122', 37266)",REQ_64_P81,RES_14_P81,2022-05-16 14:51:17.995142,closed,81
S46,"('37.44.238.120', 45242)",REQ_65_P81,RES_41_P81,2022-05-16 15:48:32.023602,closed,81
S46,"('37.44.238.120', 45390)",REQ_66_P81,RES_32_P81,2022-05-16 15:48:33.614979,closed,81
S46,"('37.44.238.120', 45442)",REQ_67_P81,RES_37_P81,2022-05-16 15:48:34.726149,closed,81
S49,"('179.43.167.122', 58726)",REQ_68_P81,RES_36_P81,2022-05-16 16:26:52.661899,closed,81
S50,"('2.56.56.4', 50150)",REQ_69_P81,RES_35_P81,2022-05-16 16:42:51.808775,closed,81
S51,"('192.241.216.122', 41596)",REQ_70_P81,RES_43_P81,2022-05-16 16:47:29.764343,closed,81
S52,"('179.43.167.122', 56176)",REQ_71_P81,RES_36_P81,2022-05-17 07:48:14.584679,closed,81
S53,"('179.43.167.122', 59176)",REQ_72_P81,RES_256_P81,2022-05-17 08:33:51.062522,closed,81
S54,"('125.228.100.237', 35194)",REQ_73_P81,RES_43_P81,2022-05-17 09:01:18.360724,closed,81
S55,"('147.182.135.81', 33004)",REQ_74_P81,RES_46_P81,2022-05-17 14:39:28.103125,closed,81
S56,"('179.43.167.122', 53612)",REQ_75_P81,RES_44_P81,2022-05-19 11:38:44.355649,closed,81
S57,"('179.43.167.122', 58334)",REQ_76_P81,RES_44_P81,2022-05-19 12:07:36.996597,closed,81
S58,"('179.43.167.122', 45776)",REQ_77_P81,RES_256_P81,2022-05-19 13:15:51.713049,closed,81
S59,"('137.184.121.128', 33168)",REQ_78_P81,RES_34_P81,2022-05-19 13:40:31.020960,closed,81
S60,"('137.184.121.128', 59644)",REQ_79_P81,RES_35_P81,2022-05-19 16:25:03.380132,closed,81
S61,"('179.43.167.122', 41978)",REQ_80_P81,RES_14_P81,2022-05-19 16:33:12.044252,open,81
