SessionID,ADDR,RequestID,ResponseID,TIME,STATUS,PORT
S1,"('205.210.31.22', 60555)",REQ_1_P82,,2022-05-10 22:44:22.566059,closed,82
S2,"('185.173.35.13', 57575)",REQ_2_P82,,2022-05-11 10:58:10.639934,closed,82
S3,"('139.162.190.203', 31430)",REQ_3_P82,,2022-05-11 11:28:42.899608,closed,82
S4,"('143.198.32.47', 61953)",REQ_4_P82,RES_4_P82,2022-05-16 14:22:28.588450,closed,82
S5,"('170.106.115.253', 40702)",REQ_5_P82,RES_1_P82,2022-05-16 17:22:26.939572,closed,82
S6,"('205.210.31.142', 59665)",REQ_6_P82,RES_6_P82,2022-05-16 19:15:46.048566,closed,82
S7,"('142.93.42.254', 61953)",REQ_7_P82,RES_3_P82,2022-05-23 11:45:17.482364,closed,82
S8,"('66.240.205.34', 53688)",REQ_8_P82,RES_5_P82,2022-05-23 11:55:33.741971,closed,82
S9,"('183.136.225.9', 53292)",REQ_9_P82,RES_2_P82,2022-05-23 15:33:37.885814,closed,82
S10,"('27.124.5.108', 46486)",REQ_10_P82,RES_2_P82,2022-05-23 23:17:53.344304,closed,82
S10,"('27.124.5.108', 46710)",REQ_11_P82,RES_2_P82,2022-05-23 23:18:11.023415,closed,82
S10,"('27.124.5.108', 49434)",REQ_12_P82,RES_2_P82,2022-05-23 23:18:12.229890,closed,82
S10,"('27.124.5.108', 50146)",REQ_13_P82,RES_2_P82,2022-05-23 23:18:15.618356,closed,82
S10,"('27.124.5.108', 51074)",REQ_14_P82,RES_2_P82,2022-05-23 23:18:21.466112,closed,82
S15,"('120.237.210.179', 38157)",REQ_15_P82,RES_2_P82,2022-05-24 10:11:12.334780,closed,82
S16,"('220.81.214.99', 41631)",REQ_16_P82,RES_2_P82,2022-05-25 11:25:57.221442,closed,82
S17,"('128.14.233.47', 22292)",REQ_17_P82,RES_5_P82,2022-05-25 11:46:28.741714,closed,82
S17,"('128.14.233.47', 23886)",REQ_18_P82,RES_5_P82,2022-05-25 11:46:30.376342,closed,82
S17,"('128.14.233.47', 24400)",REQ_19_P82,RES_5_P82,2022-05-25 11:46:32.744255,closed,82
S17,"('128.14.233.47', 24852)",REQ_20_P82,RES_5_P82,2022-05-25 11:46:35.149005,closed,82
S17,"('128.14.233.47', 25276)",REQ_21_P82,RES_5_P82,2022-05-25 11:46:37.491730,closed,82
S17,"('128.14.233.47', 25606)",REQ_22_P82,RES_5_P82,2022-05-25 11:46:39.781002,closed,82
S17,"('128.14.233.47', 25852)",REQ_23_P82,RES_5_P82,2022-05-25 11:46:42.091879,closed,82
S17,"('128.14.233.47', 26134)",REQ_24_P82,RES_5_P82,2022-05-25 11:46:44.492056,closed,82
